,ret,bin,start,data
2018-06-01,0.013888844724659677,1.0,2018-05-25,[272.149994 269.019989 272.609985 270.940002 273.600006]
2018-06-15,-0.004185775553246285,-1.0,2018-06-08,[278.190002 278.559998 278.920013 278.029999 278.730011 277.130005]
2018-06-22,-0.0196184909229995,-1.0,2018-06-15,[277.130005 276.559998 275.5      275.970001 274.23999  274.73999 ]
2018-06-29,0.0067457461174642575,1.0,2018-06-22,[274.73999  271.       271.600006 269.350006 270.890015 271.279999]
2018-07-09,0.005181727351890375,1.0,2018-07-02,[271.859985 270.899994 273.109985 275.420013 277.899994]
2018-07-16,0.00307874279485576,1.0,2018-07-09,[277.899994 278.899994 276.859985 279.369995 279.589996 279.339996]
2018-07-23,-0.0008922198047586205,1.0,2018-07-16,[279.339996 280.470001 281.059998 280.       279.679993 280.200012]
2018-07-30,0.016753001603729167,1.0,2018-07-23,[280.200012 281.609985 284.01001  283.339996 281.420013 279.950012]
2018-08-06,-0.008923583706247351,-1.0,2018-07-30,[279.950012 281.329987 280.859985 282.390015 283.600006 284.640015]
2018-08-13,0.012655111393368612,1.0,2018-08-06,[284.640015 285.579987 285.459991 285.070007 283.160004 282.100006]
2018-08-20,0.01438718035833908,1.0,2018-08-13,[282.100006 283.899994 281.779999 284.059998 285.059998 285.670013]
2018-08-27,0.00010352336290808672,1.0,2018-08-20,[285.670013 286.339996 286.170013 285.790009 287.51001  289.779999]
2018-09-04,-0.005900389951350116,-1.0,2018-08-28,[289.920013 291.480011 290.299988 290.309998 289.809998]
2018-09-18,0.00037807225082575613,1.0,2018-09-11,[289.049988 289.119995 290.829987 290.880005 289.339996 290.910004]
2018-10-02,-0.012827517580103809,-1.0,2018-09-25,[290.75     289.880005 290.690002 290.720001 291.730011 291.559998]
2018-10-09,-0.04523312550939018,-1.0,2018-10-02,[291.559998 291.720001 289.440002 287.820007 287.820007 287.399994]
2018-10-16,-0.019222482579653533,-1.0,2018-10-09,[287.399994 278.299988 272.170013 275.950012 274.399994 280.399994]
2018-10-23,-0.03563466442937013,-1.0,2018-10-16,[280.399994 280.450012 276.399994 276.25     275.01001  273.609985]
2018-10-30,0.020988259442322965,1.0,2018-10-23,[273.609985 265.320007 270.079987 265.329987 263.859985 267.769989]
2018-11-06,-0.00926863930773203,1.0,2018-10-30,[267.769989 270.630005 273.51001  271.890015 273.390015 275.119995]
