Date,Open,High,Low,Close,Adj Close,Volume
2015-08-31,181.679993,182.539993,180.600006,181.110001,169.697968,1915000
2015-09-01,177.110001,178.500000,174.830002,175.580002,164.516388,8531800
2015-09-02,178.479996,179.130005,176.399994,179.119995,167.833313,2424000
2015-09-03,179.960007,181.539993,178.710007,179.270004,167.973907,2420200
2015-09-04,176.880005,177.690002,175.639999,176.490005,165.369049,2317700
2015-09-08,179.669998,181.149994,178.919998,180.970001,169.566772,2248500
2015-09-09,182.800003,182.850006,178.169998,178.570007,167.318008,2125000
2015-09-10,178.250000,180.779999,178.070007,179.570007,168.254959,1774400
2015-09-11,179.089996,180.419998,178.330002,180.320007,168.957703,2185000
2015-09-14,180.580002,180.580002,179.179993,179.639999,168.320541,905300
2015-09-15,180.220001,182.419998,179.770004,181.979996,170.513107,1639900
2015-09-16,182.339996,183.720001,181.910004,183.570007,172.002945,2098900
2015-09-17,183.399994,185.990005,182.740005,183.089996,171.553177,3106200
2015-09-18,180.410004,182.039993,179.690002,180.130005,168.779694,3205000
2015-09-21,180.149994,181.199997,178.940002,180.100006,169.649139,1467600
2015-09-22,177.800003,178.250000,176.539993,177.750000,167.435471,2469500
2015-09-23,177.990005,178.449997,176.850006,177.429993,167.134048,1670100
2015-09-24,176.050003,177.309998,174.690002,176.880005,166.615982,2562400
2015-09-25,178.479996,178.710007,175.830002,176.759995,166.502914,3435400
2015-09-28,175.860001,175.869995,172.020004,172.309998,162.311157,3732900
2015-09-29,172.669998,173.919998,171.360001,172.399994,162.395950,3218900
2015-09-30,174.559998,175.839996,173.669998,175.710007,165.513885,3877000
2015-10-01,175.970001,176.429993,174.000000,176.199997,165.975433,3948400
2015-10-02,174.000000,178.750000,173.350006,178.750000,168.377457,2307200
2015-10-05,180.139999,182.179993,180.000000,181.960007,171.401199,2049100
2015-10-06,181.880005,182.410004,180.589996,181.350006,170.826569,1325400
2015-10-07,182.399994,183.190002,181.050003,182.869995,172.258392,1693700
2015-10-08,182.440002,184.779999,182.080002,184.479996,173.774948,3109600
2015-10-09,184.660004,185.080002,183.910004,184.580002,173.869171,1651000
2015-10-12,184.679993,184.929993,184.179993,184.800003,174.076431,885100
2015-10-13,183.979996,185.309998,183.389999,183.570007,172.917786,1022300
2015-10-14,183.449997,184.130005,182.389999,182.710007,172.107697,1183900
2015-10-15,183.399994,185.490005,183.020004,185.449997,174.688675,2523100
2015-10-16,185.919998,186.339996,185.119995,186.199997,175.395157,1241200
2015-10-19,185.660004,186.429993,185.309998,186.419998,175.602386,768900
2015-10-20,186.020004,186.869995,185.699997,186.179993,175.376312,1151200
2015-10-21,186.789993,186.809998,184.860001,184.970001,174.236526,1556900
2015-10-22,186.020004,188.380005,185.970001,188.169998,177.250854,1498300
2015-10-23,190.000000,190.630005,189.139999,190.220001,179.181900,1624300
2015-10-26,190.110001,190.119995,189.389999,189.770004,178.757996,1150500
2015-10-27,189.080002,189.759995,188.649994,189.399994,178.409470,1442200
2015-10-28,189.839996,191.600006,189.059998,191.600006,180.481781,2251900
2015-10-29,191.039993,191.850006,190.889999,191.529999,180.415878,1776300
2015-10-30,191.820007,192.000000,190.559998,190.559998,179.502136,2011600
2015-11-02,190.979996,193.089996,190.850006,192.820007,181.631012,2403500
2015-11-03,192.539993,194.059998,192.279999,193.429993,182.205597,3920400
2015-11-04,193.770004,193.899994,192.279999,192.880005,181.687546,1786600
2015-11-05,192.990005,193.440002,191.710007,192.639999,181.461456,2185100
2015-11-06,192.259995,192.830002,191.119995,192.559998,181.386139,2172400
2015-11-09,191.889999,192.009995,189.750000,190.759995,179.690536,2127800
2015-11-10,190.259995,191.250000,189.910004,191.119995,180.029648,1257400
2015-11-11,191.479996,191.550003,190.389999,190.389999,179.342026,1114700
2015-11-12,189.360001,189.809998,187.779999,187.839996,176.940018,2454900
2015-11-13,187.350006,187.619995,185.580002,185.669998,174.895905,3224000
2015-11-16,185.500000,188.550003,185.360001,188.520004,177.580551,1687100
2015-11-17,188.860001,189.789993,187.830002,188.289993,177.363876,1879900
2015-11-18,188.910004,191.509995,188.889999,191.320007,180.218048,2858600
2015-11-19,191.300003,191.679993,190.899994,191.220001,180.123871,2154800
2015-11-20,192.009995,192.660004,191.500000,191.929993,180.792664,1317600
2015-11-23,191.889999,192.539993,191.199997,191.710007,180.585419,1308100
2015-11-24,190.630005,192.380005,190.179993,192.020004,180.877441,1572000
2015-11-25,192.149994,192.309998,191.669998,191.960007,180.820908,758700
2015-11-27,192.080002,192.380005,191.500000,192.149994,180.999878,894500
2015-11-30,192.449997,192.470001,191.240005,191.369995,180.265152,1551000
2015-12-01,192.050003,193.300003,191.779999,193.220001,182.007797,1812900
2015-12-02,193.179993,193.449997,190.919998,191.179993,180.086166,1999600
2015-12-03,191.559998,191.750000,187.729996,188.460007,177.524017,2724400
2015-12-04,188.990005,192.520004,188.839996,192.160004,181.009308,2900700
2015-12-07,191.880005,191.880005,189.979996,190.949997,179.869537,1752800
2015-12-08,189.250000,190.720001,188.669998,189.729996,178.720306,1721700
2015-12-09,189.119995,191.320007,187.199997,188.309998,177.382721,4500300
2015-12-10,188.500000,190.179993,188.100006,188.740005,177.787796,4083800
2015-12-11,186.440002,187.149994,184.750000,184.979996,174.245941,3084400
2015-12-14,185.320007,186.089996,183.309998,186.089996,175.291519,2699300
2015-12-15,187.750000,188.960007,187.529999,188.029999,177.118973,3799300
2015-12-16,189.279999,191.080002,187.699997,190.669998,179.605774,6361700
2015-12-17,191.139999,191.160004,187.820007,187.889999,176.987106,3096000
2015-12-18,186.949997,187.080002,184.399994,184.399994,173.699600,4531400
2015-12-21,184.740005,185.070007,183.470001,184.929993,175.236572,2168400
2015-12-22,185.850006,186.889999,184.800003,186.600006,176.819046,2422500
2015-12-23,187.750000,188.940002,187.570007,188.839996,178.941635,2275500
2015-12-24,188.690002,189.169998,188.339996,188.509995,178.628937,1170800
2015-12-28,187.850006,188.179993,187.000000,188.100006,178.240433,2667700
2015-12-29,189.429993,190.509995,189.339996,190.199997,180.230316,1757100
2015-12-30,189.970001,189.990005,188.669998,188.800003,178.903717,2535800
2015-12-31,188.119995,188.759995,186.929993,186.929993,177.131744,2395200
2016-01-04,183.770004,184.320007,182.080002,184.309998,174.649078,4193500
2016-01-05,184.570007,185.119995,183.429993,184.639999,174.961792,2882500
2016-01-06,181.929993,183.380005,181.190002,182.300003,172.744446,2755100
2016-01-07,179.149994,181.000000,177.500000,177.860001,168.537170,4952500
2016-01-08,178.970001,179.529999,175.649994,175.970001,166.746231,7357300
2016-01-11,177.039993,177.320007,174.059998,175.990005,166.765198,4481200
2016-01-12,177.750000,178.360001,175.259995,177.449997,168.148682,2998800
2016-01-13,178.429993,178.639999,172.720001,173.110001,164.036148,4125700
2016-01-14,173.789993,177.179993,172.059998,175.919998,166.698837,5081400
2016-01-15,171.199997,173.059998,170.100006,172.149994,163.126434,8087300
